Date,Message,Profile,Network,Like,comment,Shares,interaction rate,Message-ID,Profile-ID,Link
10/9/2025,"Tea-spill drama cancelled ☕❌ Thanks to Uathayam Aqua Stain-Free magic! “White shirt, zero stains, infinite peace ✨ 

#Uathayam #StainProofSwag #aquawhiteshirt #stainproofshirt #stainfree #LightTheLegacy #Festivaloflights #Diwali #Diwali2025 #UathayamDiwali",Sathishkumar Dhanasekaran,INSTAGRAM,20924,89,21013,1.48%,1.80687E+16,7906994564,https://www.instagram.com/reel/DPloJr0iR9f/
10/1/2025,2 layers of fayefayeye : Infinitude Bikini top with Aqua crop top pipatchara,Pipatchara Kaeojinda,INSTAGRAM,20842,38,20880,22.68%,1.80628E+16,4757558,https://www.instagram.com/reel/DPRVzC7E14R/
10/22/2025,"Danone Indonesia buka suara soal konten di akun Youtube Gubernur Jawa Barat Dedi Mulyadi (Demul) alias KDM terkait sumber air Aqua. Dalam konten sidak Dedi Mulyadi itu, pengelola menyebut sumber air Aqua dari bawah tanah, bukan air permukaan.

Di akun Youtube @KANGDEDIMULYADICHANNEL mulanya Dedi bertanya dari mana sumber air yang dipakai sebagai bahan baku air mineral dalam kemasan itu.

""Ngambil airnya dari sungai?"" kata Dedi bertanya kepada salah satu staf yang menemuinya.

""Airnya dari bawah tanah pak,"" kata Staff tersebut.

Manajemen Danone Indonesia buka suara terkait konten Dedi Mulyadi ini. Dalam keterangan tertulisnya, Danone menyatakan bahwa sumber air yang mereka pakai berasal dari sumber air pegunungan yang terlindungi.

""Air AQUA berasal dari 19 sumber air pegunungan yang tersebar di seluruh Indonesia. Setiap sumber air dipilih melalui proses seleksi ketat yang melibatkan 9 kriteria ilmiah, 5 tahapan evaluasi, Minimal 1 tahun penelitian,"" demikian keterangan Danone.

Danone mengakui sumber airnya bukan berasal dari permukaan, namun dari akuifer dalam dengan kedalaman 60-140 meter.

Simak berita selengkapnya hanya di tvonenews.com
#HardNews_Viral #NewsOne #CariBeritaditvOne #DediMulyadi #AQUA #Danone #Viral #NO3",tvOneNews,FACEBOOK,9123,8556,20789,0.59%,284251334961090_851150190900675,2.84251E+14,https://www.facebook.com/225571246791909/posts/851150190900675
10/6/2025,"Renowned industrialists and philanthropists Yohan and Michelle Poonawalla graced the MASH X UNICEF Charity Ball, hosted by Shalini Passi — an evening that beautifully celebrated art, couture, and compassion. The couple exuded timeless sophistication through their impeccable style, while also supporting the cause by lending three of Michelle’s evocative artworks — ‘Whispers of the Deep’, ‘Aqua Vitae’, and ‘Mystical Flight’ — underscoring their enduring commitment to creativity with purpose.

YohanPoonawalla michelle_poonawalla Poonawallagroup #yohanPoonawalla #industrialist  #philanthropist  #michellepoonawalla_art  #mash_india",Viral Bhayani,INSTAGRAM,20333,42,20375,0.15%,1.80666E+16,1974171340,https://www.instagram.com/reel/DPd52fsEyPq/
10/5/2025,"Potensial XI Skuad Garuda untuk menghadapi Irak dan Arab Saudi di ronde keempat Kualifikasi Kejuaraan Dunia 2026.

Menurut Vivamania, apakah komposisi ini udah sangat cocok? ??

Ayo dukung mereka bersama AQUA, kunci sejuk alami di setiap perjuangan!

AQUA 100% Murni pilihan TIMNAS Indonesia karena AQUA mengandung mineral alami seimbang yang berasal dari 19 gunung terpilih, tersaring alami selama bertahun-tahun melalui bebatuan, bikin rasanya sejuk alami. 

Pantengin terus perkembangannya dan selalu dukung Timnas Indonesia bersama AQUA Air Mineral resmi pilihan timnas Indonesia!

#AQUADULU #TimnasIndonesia",Vivagoal,INSTAGRAM,19200,606,19806,3.64%,1.81802E+16,1300033477,https://www.instagram.com/p/DPas3v9k7BE/
10/5/2025,"????✨ What an experience!
Had the honor of sharing the stage with some of the best and most talented artists at Tampere City Festival in Finland – including Tinie Tempah, Mohombi, Aqua, Akcent, and many more. ????

Thank you for the amazing energy, Tampere – can’t wait to see you again! ❤️????

??: esashoots",DJ Aligator,INSTAGRAM,19146,574,19720,1.31%,1.81155E+16,198946253,https://www.instagram.com/reel/DPa_fI1DDOK/
10/21/2025,"Mumbai T2 To Dadar Metro Station In XX Minutes With A Total Cost Of ₹50.
.
So Recently I Traveled From Mumbai International Airport (T2) To Dadar Metro Station.
This Was When The Line was Opened Only Till Worli.
From Arrivals Its Super Easy To Reach Metro Station Just Follow The direction And There Is a Direct Bridge Near Auto Stand Which Directly Connects The Airport To Metro Station.
Premises Of Metro Station Was Hugh But Empty Probably Because It was Just Opened Till Worli And Not Till Cuff Parade.
I Booked My Tickets Using Vending Machine And Paid Using UPI With No Network Issue at The Metro Station. (I Have Faced Network Issues Between Siddhivinayak Station To Churchgate On My Recent Travels).
.
Journey Was Smooth And Fast With Proper Security Even On The Platform For The Public Safety.
.
Got Lift And Escalator Everywhere So  ideally Even With Luggage You Should Not Face Any Issues.
.
It Took A Total Of 43 Minutes Since I Started My Journey From Outside T2 Arrival Gates To Outside If Dadar Metro Station. 
With A Total Cost Of ₹50.
.
Comment Down Your Experience With Aqua Line Till Date.
.
#mumbaifood #mumbai #mumbaifoodie #foodie #indianfood #food #mumbaistreetfood #foodphotography #foodblogger #mumbaifoodlovers #mumbaifoodies #foodstagram #instafood #mumbaikar #streetfood #mumbaidiaries #mumbaifoodicious #delhifood #foodlover #indianstreetfood #mumbaifoodblogger #delhifoodie #desifood #mumbaiblogger #foodtalkindia #indianfoodbloggers #streetfoodindia #thingstodoinmumbai",Mayank Shah | Food And Travel  | Mumbai |,INSTAGRAM,19208,216,19424,7.43%,1.83289E+16,32483005689,https://www.instagram.com/reel/DQEjAJNCPXM/
10/19/2025,"?? Διαγωνισμός??

3 τυχερές θα κερδίσουν προϊόντα AVÈNE, την Aqua Gel Κρέμα Ημέρας και το Serum Hyaluron Activ B3

Για να λάβετε μέρος στον διαγωνισμό, πρέπει να κάνετε τα εξής βήματα: 

•Like στην φωτογραφία 
•Follow kalyteradeginetai 
•Follow alphatv 

#καλητυχη??",Καλύτερα Δε Γίνεται!,INSTAGRAM,14724,4657,19381,7.76%,1.78595E+16,8567994504,https://www.instagram.com/p/DP_VEfJjCRj/
10/6/2025,"ENFANTS RICHES DÉPRIMÉS
PRINTEMPS/ÉTÉ 2026

CREATIVE DIRECTION & DESIGN
HENRI ALEXANDER LEVY
STYLING DAVID FRIEND
MUSIC NICHOLAS “AQUA” MCCARRELL
HAIR MIKE MARTINEZ
MAKEUP HOLLY SILIUS 
PHOTO RYLEY PASKAL
CASTING MDT
EDIT & VIDEO ROSS CONSTABLE ( TURBINE )
ERD TEAM
HENRY STAMBLER
OLIVE ROSE",enfantsrichesdeprimes,INSTAGRAM,18857,207,19064,3.21%,1.83743E+16,359930545,https://www.instagram.com/p/DPebJLaDmNl/
10/9/2025,"Mumbai’s first fully underground metro line is almost here! ?? The final 10.99 km stretch of Metro Line 3 (Aqua Line) connecting Worli to Cuffe Parade is ready for launch, completing the 33.5 km corridor from Aarey to Cuffe Parade. ??️

This phase features 11 stations linking major heritage, commercial, and residential hubs including Mahalaxmi, Mumbai Central, Girgaon, CSMT, and Churchgate. ✨

Ahead of the launch, a beautifully decorated metro rake was unveiled, creating a buzz across the city. ?? Passenger services will start the day after inauguration, reducing travel time from Aarey to Cuffe Parade to just 54 minutes. ⏱️",Viral Bhayani,INSTAGRAM,18420,75,18495,0.13%,1.8059E+16,1974171340,https://www.instagram.com/p/DPkxxh1CP-N/
